iter: 1015000, trainloss: 4064.18, valloss: 4219.75, testloss: 3835.31, lr: 0.004968, time_diff: 1880.576039
iter: 1020000, trainloss: 3751.62, valloss: 4465.35, testloss: 3502.55, lr: 0.004968, time_diff: 1874.199732
iter: 1025000, trainloss: 4226.07, valloss: 4227.67, testloss: 3515.29, lr: 0.004968, time_diff: 1873.828578
iter: 1030000, trainloss: 3837.33, valloss: 4264.89, testloss: 3553.64, lr: 0.004967, time_diff: 1872.464125
iter: 1035000, trainloss: 3890.37, valloss: 4561.69, testloss: 3357.01, lr: 0.004967, time_diff: 1870.566339
iter: 1040000, trainloss: 4073.55, valloss: 4477.71, testloss: 3443.02, lr: 0.004967, time_diff: 1875.282581
iter: 1045000, trainloss: 4155.49, valloss: 4477.34, testloss: 3406.90, lr: 0.004966, time_diff: 1874.481313
iter: 1050000, trainloss: 4092.28, valloss: 4412.01, testloss: 3654.13, lr: 0.004966, time_diff: 1880.536992
iter: 1055000, trainloss: 4368.59, valloss: 4317.51, testloss: 3497.08, lr: 0.004966, time_diff: 1876.123500
iter: 1060000, trainloss: 4106.33, valloss: 4371.77, testloss: 3523.66, lr: 0.004965, time_diff: 1872.478354
iter: 1065000, trainloss: 4065.89, valloss: 4361.75, testloss: 3680.83, lr: 0.004965, time_diff: 1874.007713
iter: 1070000, trainloss: 4025.61, valloss: 4521.80, testloss: 3575.98, lr: 0.004965, time_diff: 1870.689210
iter: 1075000, trainloss: 4164.05, valloss: 4185.55, testloss: 3502.42, lr: 0.004964, time_diff: 1872.963327
iter: 1080000, trainloss: 3963.38, valloss: 4471.88, testloss: 3631.77, lr: 0.004964, time_diff: 1871.693797
iter: 1085000, trainloss: 3949.21, valloss: 4615.53, testloss: 3526.95, lr: 0.004964, time_diff: 1871.152451
iter: 1090000, trainloss: 3853.58, valloss: 4197.32, testloss: 3777.70, lr: 0.004963, time_diff: 1887.316015
iter: 1095000, trainloss: 3894.73, valloss: 4398.13, testloss: 3664.30, lr: 0.004963, time_diff: 1877.500162
iter: 1100000, trainloss: 3789.13, valloss: 4120.23, testloss: 3758.83, lr: 0.004963, time_diff: 1875.266804
iter: 1105000, trainloss: 3713.26, valloss: 4298.84, testloss: 3355.24, lr: 0.004962, time_diff: 1874.573348
iter: 1110000, trainloss: 4172.33, valloss: 4682.23, testloss: 3612.52, lr: 0.004962, time_diff: 1875.801470
iter: 1115000, trainloss: 4136.39, valloss: 4367.83, testloss: 3758.57, lr: 0.004962, time_diff: 1873.935465
iter: 1120000, trainloss: 4220.09, valloss: 4491.86, testloss: 3559.17, lr: 0.004961, time_diff: 1874.105364
iter: 1125000, trainloss: 4238.56, valloss: 4183.46, testloss: 3594.43, lr: 0.004961, time_diff: 1873.631992
iter: 1130000, trainloss: 3948.86, valloss: 4235.84, testloss: 3595.39, lr: 0.004961, time_diff: 1872.685583
iter: 1135000, trainloss: 3813.66, valloss: 4308.13, testloss: 3625.71, lr: 0.004960, time_diff: 1871.649284
iter: 1140000, trainloss: 4218.90, valloss: 4372.04, testloss: 3636.72, lr: 0.004960, time_diff: 1874.154838
iter: 1145000, trainloss: 4076.12, valloss: 4490.18, testloss: 3537.77, lr: 0.004960, time_diff: 1873.768605
iter: 1150000, trainloss: 4250.79, valloss: 4172.35, testloss: 3642.11, lr: 0.004959, time_diff: 1872.930163
iter: 1155000, trainloss: 3953.49, valloss: 4195.87, testloss: 3523.15, lr: 0.004959, time_diff: 1874.072623
iter: 1160000, trainloss: 4000.91, valloss: 4521.19, testloss: 3240.98, lr: 0.004959, time_diff: 1871.617100
iter: 1165000, trainloss: 3782.68, valloss: 4275.81, testloss: 3846.17, lr: 0.004958, time_diff: 1881.239035
iter: 1170000, trainloss: 3841.15, valloss: 4467.95, testloss: 3568.53, lr: 0.004958, time_diff: 1879.127769
iter: 1175000, trainloss: 4127.08, valloss: 4460.37, testloss: 3431.11, lr: 0.004958, time_diff: 1874.300874
